CityName,Latitude_x,Temp,Humidity,Cloudiness,WindSpeed,Country,Latitude_y,Long,NorthOrSouth
Coalinga,36.14,61.0,67,4,4.0,US,36.14,-120.36,North
Charter Township of Clinton,42.59,45.0,70,20,11.41,US,42.59,-82.92,North
Den Helder,52.96,59.0,77,75,23.04,NL,52.96,4.76,North
Montepuez,-13.13,80.31,51,91,11.23,MZ,-13.13,39.0,South
Pokhara,28.23,66.99,29,0,5.1,NP,28.23,83.98,North
Sitka,57.05,30.2,54,1,4.38,US,57.05,-135.33,North
Bandarbeyla,9.49,78.24,71,59,8.7,SO,9.49,50.81,North
Pisco,-13.7,64.99,88,90,6.93,PE,-13.7,-76.22,South
Vardø,70.37,38.1,92,100,22.46,NO,70.37,31.11,North
São Gotardo,-19.31,66.99,100,100,1.01,BR,-19.31,-46.05,South
Moses Lake,47.13,37.4,69,90,9.17,US,47.13,-119.28,North
Nelson Bay,-32.72,63.0,100,90,3.36,AU,-32.72,152.15,South
Skibbereen,51.55,50.0,71,40,14.99,IE,51.55,-9.27,North
Faanui,-16.48,78.53,69,47,4.27,PF,-16.48,-151.75,South
Campbell River,50.02,32.0,93,5,6.93,CA,50.02,-125.24,North
Luwingu,-10.26,82.53,20,64,3.06,ZM,-10.26,29.93,South
Mitsamiouli,-11.38,79.14,74,2,12.12,KM,-11.38,43.28,South
Nieuw Amsterdam,5.88,91.4,55,40,8.05,SR,5.88,-55.08,North
Pangnirtung,66.15,26.6,86,90,2.24,CA,66.15,-65.71,North
Leningradskiy,69.38,21.27,94,80,4.54,RU,69.38,178.42,North
Codrington,-38.27,47.62,64,98,18.7,AU,-38.27,141.97,South
Nikolskoye,59.7,41.0,82,75,4.47,RU,59.7,30.79,North
Arrondissement de Montbrison,45.67,60.8,63,0,4.7,FR,45.67,4.08,North
Rocha,-34.48,72.01,78,97,6.55,UY,-34.48,-54.33,South
Ayan,56.45,39.33,93,100,23.06,RU,56.45,138.17,North
Kulhudhuffushi,6.62,82.08,75,100,7.58,MV,6.62,73.07,North
Al Bardīyah,31.76,72.21,69,0,14.43,LY,31.76,25.09,North
Karymskoye,51.62,30.72,93,29,1.23,RU,51.62,114.35,North
Tasiilaq,65.61,33.8,69,75,2.24,GL,65.61,-37.64,North
Naze,28.37,69.8,64,40,12.75,JP,28.37,129.48,North
Caesarea,32.52,84.2,37,0,4.7,IL,32.52,34.9,North
Rosarito,32.33,66.99,82,90,5.82,MX,32.33,-117.03,North
Kloulklubed,7.04,77.0,94,75,11.39,PW,7.04,134.26,North
Presidencia Roque Sáenz Peña,-26.79,95.09,41,1,4.52,AR,-26.79,-60.44,South
Bhīmavaram,16.53,77.77,84,35,3.49,IN,16.53,81.53,North
Solnechnyy,50.72,36.5,91,100,15.75,RU,50.72,136.63,North
Alice Springs,-23.7,66.2,48,26,8.05,AU,-23.7,133.88,South
Puerto Maldonado,-12.6,91.4,55,0,9.17,PE,-12.6,-69.18,South
Kismayo,-0.36,80.37,80,80,14.36,SO,-0.36,42.55,South
Waingapu,-9.66,81.05,77,18,2.77,ID,-9.66,120.26,South
Mindelo,16.89,84.2,66,75,28.86,CV,16.89,-24.98,North
Opuwo,-18.06,96.12,12,86,2.71,NA,-18.06,13.84,South
Masuguru,-11.37,90.37,33,48,7.67,TZ,-11.37,38.42,South
Les Escoumins,48.11,40.87,86,100,14.74,CA,48.11,-69.02,North
Marrakesh,31.63,78.8,31,0,5.82,MA,31.63,-8.01,North
Shīeli,44.17,41.47,58,0,7.54,KZ,44.17,66.75,North
Kaitangata,-46.28,52.93,74,100,4.29,NZ,-46.28,169.85,South
Forsytheganj,52.63,52.74,91,100,9.44,BY,52.63,29.73,North
Okitipupa,6.5,81.75,85,100,4.0,NG,6.5,4.78,North
Ternate,0.8,81.75,76,87,1.12,ID,0.8,127.4,North
Monetnyy,57.05,32.0,99,90,6.71,RU,57.05,60.88,North
Tamandaré,-8.76,80.87,66,100,8.48,BR,-8.76,-35.1,South
Władysławowo,54.79,55.99,81,20,10.29,PL,54.79,18.4,North
Urusha,54.05,28.04,96,0,3.53,RU,54.05,122.9,North
Dingle,11.0,75.61,88,100,1.5,PH,11.0,122.67,North
Zhigalovo,54.81,34.11,91,100,2.37,RU,54.81,105.16,North
Taoudenni,22.68,104.13,7,25,9.86,ML,22.68,-3.98,North
Kiunga,-6.12,71.46,98,23,1.25,PG,-6.12,141.29,South
Morozovsk,48.35,57.45,77,100,4.79,RU,48.35,41.83,North
Alyangula,-13.85,82.4,78,40,8.05,AU,-13.85,136.42,South
Fort Nelson,58.81,6.8,84,20,5.82,CA,58.81,-122.7,North
Havelock,34.88,80.01,64,1,3.36,US,34.88,-76.9,North
Berlevåg,70.86,37.96,91,100,26.62,NO,70.86,29.09,North
Saint-Pierre,-21.34,73.4,64,0,17.22,RE,-21.34,55.48,South
Ambatofinandrahana,-20.55,65.07,68,22,8.32,MG,-20.55,46.8,South
São Filipe,14.9,82.63,70,6,12.06,CV,14.9,-24.5,North
Sioux Lookout,50.1,26.6,79,75,5.82,CA,50.1,-91.92,North
Whitehorse,60.72,15.01,85,40,18.34,CA,60.72,-135.05,North
Zonguldak,41.25,62.74,61,0,1.41,TR,41.25,31.83,North
Guánica,17.97,89.01,62,100,4.0,PR,17.97,-66.91,North
Moissac,44.1,66.2,55,0,5.82,FR,44.1,1.09,North
Porto Tolle,44.95,60.01,93,100,1.99,IT,44.95,12.32,North
Caravelas,-17.71,79.83,76,78,10.11,BR,-17.71,-39.25,South
Rupert,42.62,55.4,32,90,16.11,US,42.62,-113.68,North
Praia,14.92,84.2,66,0,19.46,CV,14.92,-23.51,North
Husavik,66.04,42.8,70,90,20.8,IS,66.04,-17.34,North
Killybegs,54.63,50.0,66,20,8.05,IE,54.63,-8.45,North
Jalu,29.03,73.89,37,0,9.19,LY,29.03,21.55,North
São Félix do Xingu,-6.64,90.54,52,83,3.85,BR,-6.64,-51.99,South
Jieshi,22.81,73.99,64,100,1.01,CN,22.81,115.83,North
Lander,42.83,37.0,63,20,4.7,US,42.83,-108.73,North
Mahabalipuram,12.63,82.4,83,75,3.6,IN,12.63,80.17,North
Arawa,-6.21,76.95,79,35,2.91,PG,-6.21,155.54,South
Zhuhai,22.28,75.2,69,20,12.75,CN,22.28,113.57,North
Slave Lake,55.28,17.6,85,90,14.99,CA,55.28,-114.77,North
Tiksi,71.69,12.72,91,66,22.37,RU,71.69,128.87,North
Phek,25.67,56.62,100,80,1.86,IN,25.67,94.5,North
Parabel',58.7,17.38,96,49,6.62,RU,58.7,81.48,North
Merauke,-8.47,78.48,87,7,6.73,ID,-8.47,140.33,South
Bilma,18.69,86.76,12,0,5.82,NE,18.69,12.92,North
Mt. Pleasant,32.79,82.99,74,1,3.74,US,32.79,-79.86,North
Privolnyy,44.1,60.01,61,58,4.09,RU,44.1,46.66,North
Voyvozh,62.89,28.38,99,100,8.95,RU,62.89,54.96,North
Bambous Virieux,-20.34,75.2,69,75,11.41,MU,-20.34,57.76,South
Kedrovyy,56.17,28.4,86,0,6.71,RU,56.17,91.82,North
Norden,53.6,57.2,76,96,12.75,DE,53.6,7.2,North
Golden,39.76,53.01,39,56,0.87,US,39.76,-105.22,North
Bandundu Province,-3.32,82.29,74,70,1.77,CD,-3.32,17.37,South
Aripuanã,-9.17,87.06,59,72,7.14,BR,-9.17,-60.63,South
Tambopata,-12.73,91.4,55,0,9.17,PE,-12.73,-69.18,South
Pak Phanang,8.35,79.95,80,100,5.19,TH,8.35,100.2,North
Manta,-0.95,77.0,73,90,5.82,EC,-0.95,-80.73,South
Marquette,46.53,37.0,70,98,7.0,US,46.53,-87.63,North
Henties Bay,-22.12,61.0,86,57,1.99,NA,-22.12,14.28,South
Najrān,17.49,80.6,14,0,9.17,SA,17.49,44.13,North
Corinth,37.94,71.01,46,57,1.01,GR,37.94,22.96,North
Río Gallegos,-51.62,44.6,87,90,12.75,AR,-51.62,-69.22,South
Mongo,12.18,90.91,19,2,6.35,TD,12.18,18.69,North
Tagusao,9.19,80.4,77,99,5.5,PH,9.19,117.81,North
Saldanha,-33.01,68.0,64,3,11.41,ZA,-33.01,17.94,South
Grand Forks,47.94,23.0,85,20,4.7,US,47.94,-97.43,North
Romans-sur-Isère,45.05,62.6,67,0,6.93,FR,45.05,5.06,North
Barra,-11.09,91.63,35,16,8.75,BR,-11.09,-43.14,South
Thomaston,32.89,77.0,73,40,3.36,US,32.89,-84.33,North
Paamiut,61.99,32.41,87,0,18.01,GL,61.99,-49.67,North
Mahon,39.89,69.8,46,0,9.17,ES,39.89,4.27,North
Adré,13.47,85.23,18,90,6.67,TD,13.47,22.2,North
Vaitape,-16.52,79.39,67,50,4.45,PF,-16.52,-151.75,South
Kiryat Gat,31.61,80.6,74,0,8.05,IL,31.61,34.76,North
Bagdarin,54.43,27.3,92,45,1.05,RU,54.43,113.6,North
Alta Floresta,-9.88,81.52,69,99,4.88,BR,-9.88,-56.09,South
Esil,51.96,34.05,88,100,24.4,KZ,51.96,66.4,North
Haines Junction,60.75,17.89,83,37,0.92,CA,60.75,-137.51,North
Bukachacha,52.98,30.76,94,52,3.09,RU,52.98,116.92,North
Alugan,12.22,77.88,90,92,8.59,PH,12.22,125.48,North
Todos Santos,23.45,78.01,74,10,4.56,MX,23.45,-110.22,North
Waipawa,-41.41,59.0,100,30,19.46,NZ,-41.41,175.52,South
Montrose,38.42,57.99,52,1,15.64,US,38.42,-108.27,North
Tambura,5.6,76.91,82,100,3.56,SS,5.6,27.47,North
Katsuura,35.13,59.0,51,0,18.34,JP,35.13,140.3,North
Östersund,63.18,30.2,86,23,8.05,SE,63.18,14.64,North
Ombessa,4.6,78.3,89,46,4.63,CM,4.6,11.26,North
Cervo,43.67,66.0,75,100,10.0,ES,43.67,-7.41,North
Hasaki,35.73,51.8,100,20,4.7,JP,35.73,140.83,North
Esquipulas,14.57,78.8,83,0,2.24,GT,14.57,-89.35,North
Timbiquí,2.77,79.88,87,97,5.48,CO,2.77,-77.67,North
Grinnell,41.74,37.4,69,90,6.35,US,41.74,-92.72,North
Lázaro Cárdenas,17.96,85.84,70,68,1.86,MX,17.96,-102.2,North
Lüshunkou,38.8,46.4,81,0,2.24,CN,38.8,121.27,North
São Mateus do Maranhão,-4.04,91.76,51,90,5.06,BR,-4.04,-44.48,South
Cherdyn',60.4,30.04,98,100,9.73,RU,60.4,56.48,North
Poum,-20.23,76.33,80,79,15.19,NC,-20.23,164.02,South
San Quintín,30.48,67.26,72,99,9.22,MX,30.48,-115.95,North
Tūkrah,32.53,71.42,62,0,9.84,LY,32.53,20.58,North
Basco,20.45,78.85,84,100,31.88,PH,20.45,121.97,North
Hirson,49.92,57.99,95,96,5.99,FR,49.92,4.08,North
Grand Gaube,-20.01,73.0,71,26,5.99,MU,-20.01,57.66,South
Bako,5.78,66.31,83,67,3.38,ET,5.78,36.57,North
Hong Kong,22.29,75.99,67,100,1.01,HK,22.29,114.16,North
Gushikawa,26.35,68.0,77,75,3.36,JP,26.35,127.87,North
Flinders,-34.58,59.0,85,100,4.0,AU,-34.58,150.86,South
Dakar,14.69,89.6,79,0,9.17,SN,14.69,-17.44,North
Saraipali,21.33,73.04,58,32,2.64,IN,21.33,83.0,North
Hvide Sande,56.0,55.99,80,94,5.01,DK,56.0,8.13,North
Xining,36.62,48.63,59,99,3.71,CN,36.62,101.77,North
Fortuna,40.6,52.0,100,90,2.98,US,40.6,-124.16,North
Birao,10.28,85.26,38,9,4.54,CF,10.28,22.79,North
Souillac,-20.52,75.2,69,75,11.41,MU,-20.52,57.52,South
Portobelo,9.55,82.99,88,75,8.05,PA,9.55,-79.65,North
Ibrā’,22.69,71.65,32,0,5.01,OM,22.69,58.53,North
Kattivākkam,13.22,82.4,83,75,3.13,IN,13.22,80.32,North
Grants,35.15,55.4,34,1,4.7,US,35.15,-107.85,North
Rawson,-43.3,74.23,23,100,3.42,AR,-43.3,-65.1,South
Saint-François,46.42,60.8,63,0,5.82,FR,46.42,3.91,North
Bakel,14.9,103.82,13,51,10.98,SN,14.9,-12.46,North
Touros,-5.2,86.0,62,40,16.11,BR,-5.2,-35.46,South
Kirkwall,58.98,50.0,71,20,23.04,GB,58.98,-2.96,North
Vostok,46.49,30.24,100,100,9.28,RU,46.49,135.88,North
Pundaguitan,6.37,83.52,74,100,11.97,PH,6.37,126.17,North
Banda Aceh,5.56,77.76,88,100,15.55,ID,5.56,95.32,North
Arrondissement de Gap,44.67,50.0,86,2,1.01,FR,44.67,6.0,North
Zheshart,62.07,35.62,99,100,7.45,RU,62.07,49.57,North
Pānsemāl,21.65,78.67,44,13,2.55,IN,21.65,74.7,North
Tabory,58.52,28.2,98,100,10.56,RU,58.52,64.55,North
Khudumelapye,-23.88,93.29,15,46,6.31,BW,-23.88,24.75,South
São João da Barra,-21.64,78.8,74,90,14.99,BR,-21.64,-41.05,South
São Benedito do Rio Preto,-3.33,93.43,47,83,4.97,BR,-3.33,-43.53,South
Tari,12.41,96.13,17,82,7.0,NG,12.41,4.49,North
Necochea,-38.55,65.1,76,97,5.95,AR,-38.55,-58.74,South
Aykhal,66.0,17.6,92,90,2.24,RU,66.0,111.5,North
Kayasula,44.33,59.56,33,9,3.4,RU,44.33,45.0,North
Mbaïki,3.87,79.52,74,54,1.28,CF,3.87,17.99,North
Kushmurun,52.45,35.44,95,100,24.9,KZ,52.45,64.63,North
Karoi,-16.81,79.95,23,59,4.12,ZW,-16.81,29.69,South
Astoria,46.19,46.4,87,90,8.05,US,46.19,-123.83,North
Marsh Harbour,26.54,80.83,73,4,10.42,BS,26.54,-77.06,North
Matara,5.95,79.09,83,74,8.86,LK,5.95,80.54,North
Sorong,-0.88,80.74,79,100,5.55,ID,-0.88,131.25,South
Ikalamavony,-21.15,72.7,57,13,9.04,MG,-21.15,46.58,South
Upata,8.01,86.0,72,100,3.0,VE,8.01,-62.4,North
Half Moon Bay,37.46,57.99,93,90,3.36,US,37.46,-122.43,North
Goedereede,51.82,60.01,86,100,1.01,NL,51.82,3.98,North
Buala,-8.14,80.17,79,98,3.6,SB,-8.14,159.59,South
Malinovskiy,61.2,25.05,97,100,11.12,RU,61.2,62.84,North
Rio Grande,-32.03,78.01,77,26,3.0,BR,-32.03,-52.1,South
Baculin,7.45,78.78,79,100,5.77,PH,7.45,126.58,North
Fuerte Olimpo,-21.04,97.09,41,13,4.68,PY,-21.04,-57.87,South
Biltine,14.53,92.07,13,7,8.12,TD,14.53,20.92,North
Uyuni,-20.46,58.66,28,0,11.21,BO,-20.46,-66.83,South
Kitgum,3.28,73.99,76,96,3.44,UG,3.28,32.89,North
Maniitsoq,65.42,25.39,88,0,9.35,GL,65.42,-52.9,North
Miranda,3.25,73.4,83,40,4.7,CO,3.25,-76.23,North
Tshikapa,-6.42,80.28,77,100,2.53,CD,-6.42,20.8,South
Bungu,-7.63,76.59,81,39,6.2,TZ,-7.63,39.06,South
Meulaboh,4.14,77.25,87,100,0.51,ID,4.14,96.13,North
Carman,49.5,28.0,73,40,10.29,CA,49.5,-98.0,North
Harar,9.31,67.28,38,20,11.43,ET,9.31,42.13,North
Muli,2.92,82.65,81,50,8.03,MV,2.92,73.57,North
Goderich,43.75,43.0,85,93,13.58,CA,43.75,-81.72,North
Koslan,63.46,28.54,99,100,0.87,RU,63.46,48.9,North
Cuxhaven,53.87,55.4,87,75,9.17,DE,53.87,8.69,North
Victoria Point,-27.58,71.01,89,48,5.99,AU,-27.58,153.3,South
Norsup,-16.07,71.6,94,20,7.2,VU,-16.07,167.38,South
Mana,5.66,87.85,62,20,11.61,GF,5.66,-53.78,North
Sampit,-2.53,75.7,92,69,1.36,ID,-2.53,112.95,South
Recsk,47.93,54.0,91,100,1.99,HU,47.93,20.12,North
Jiuquan,39.74,46.99,42,95,10.56,CN,39.74,98.52,North
Hofn,64.25,44.1,86,100,45.95,IS,64.25,-15.21,North
Sinnamary,5.38,87.53,62,5,11.41,GF,5.38,-52.95,North
Banjar,-8.19,80.6,88,40,9.17,ID,-8.19,114.97,South
Saint Anthony,45.02,28.99,68,1,4.21,US,45.02,-93.22,North
Igarka,67.47,13.35,96,87,9.4,RU,67.47,86.58,North
Bosaso,11.28,80.19,58,0,3.8,SO,11.28,49.18,North
Vera Cruz,-12.63,91.53,31,74,7.72,BR,-12.63,-41.03,South
Villamontes,-21.25,101.12,26,61,4.54,BO,-21.25,-63.5,South
Xudat,41.63,62.51,69,0,10.56,AZ,41.63,48.68,North
Laguna de Duero,41.58,57.0,71,90,14.99,ES,41.58,-4.72,North
Água Preta,-8.71,81.18,63,98,9.15,BR,-8.71,-35.53,South
Kudahuvadhoo,2.67,82.96,78,58,9.71,MV,2.67,72.89,North
Promyshlennyy,67.58,12.22,93,0,8.68,RU,67.58,63.92,North
Aklavik,68.22,10.4,92,20,3.36,CA,68.22,-135.01,North
Manturovo,58.34,38.44,83,81,6.8,RU,58.34,44.76,North
Soyo,-6.13,80.6,78,40,9.17,AO,-6.13,12.37,South
Sol'-Iletsk,51.16,52.56,91,99,11.72,RU,51.16,54.99,North
Wattegama,6.8,82.4,83,20,8.05,LK,6.8,81.48,North
Shimoda,34.67,52.0,76,0,3.0,JP,34.67,138.95,North
Cairns,-16.92,75.2,83,40,3.36,AU,-16.92,145.77,South
Springfield,37.22,43.0,75,90,8.05,US,37.22,-93.3,North
Patacamaya,-17.23,59.65,31,25,4.45,BO,-17.23,-67.92,South
Chipinge,-20.19,69.94,48,2,4.43,ZW,-20.19,32.62,South
Acaraú,-2.89,88.5,56,70,18.28,BR,-2.89,-40.12,South
Empalme,27.97,78.01,83,5,2.66,MX,27.97,-110.82,North
Colquiri,-17.42,53.69,38,63,4.88,BO,-17.42,-67.13,South
Morden,49.19,23.0,73,40,10.29,CA,49.19,-98.1,North
Belaya Gora,68.53,9.1,92,42,1.9,RU,68.53,146.42,North
Tieling,42.29,41.56,61,0,8.32,CN,42.29,123.84,North
Shakhtinsk,49.71,24.8,62,0,11.18,KZ,49.71,72.59,North
Omboué,-1.57,80.56,75,79,11.77,GA,-1.57,9.26,South
Inhambane,-23.86,78.8,74,20,4.7,MZ,-23.86,35.38,South
Marzuq,14.4,71.02,21,50,2.21,YE,14.4,46.47,North
Prado,-17.34,78.66,80,47,11.86,BR,-17.34,-39.22,South
Krasnovishersk,60.41,29.1,98,100,7.9,RU,60.41,57.08,North
Umluj,25.02,82.08,54,0,4.41,SA,25.02,37.27,North
Coquimbo,-29.95,53.6,87,90,10.29,CL,-29.95,-71.34,South
Imbituba,-28.24,77.0,65,75,14.99,BR,-28.24,-48.67,South
Klaksvík,62.23,48.2,81,57,16.11,FO,62.23,-6.59,North
Qandala,11.47,81.18,45,0,4.97,SO,11.47,49.87,North
Puerto Escondido,15.85,84.2,79,20,6.93,MX,15.85,-97.07,North
Chardara,41.25,48.65,50,77,12.17,KZ,41.25,67.97,North
Calamar,10.25,80.6,94,75,8.05,CO,10.25,-74.91,North
Urubichá,-15.38,99.59,29,21,5.1,BO,-15.38,-62.95,South
Mossamedes,-15.2,70.97,78,33,12.68,AO,-15.2,12.15,South
Kyabé,9.45,86.07,53,92,2.48,TD,9.45,18.94,North
Nkhotakota,-12.93,79.65,57,0,4.47,MW,-12.93,34.3,South
Ocean City,39.28,66.99,82,90,5.82,US,39.28,-74.57,North
Jacareacanga,-6.22,81.12,82,100,4.38,BR,-6.22,-57.75,South
Harper,4.38,81.72,75,70,5.53,LR,4.38,-7.72,North
Ulladulla,-35.35,54.0,100,90,11.41,AU,-35.35,150.47,South
Asău,46.43,57.0,81,100,4.05,RO,46.43,26.4,North
Natal,-5.79,86.0,62,40,16.11,BR,-5.79,-35.21,South
Rockport,28.02,64.4,63,90,10.29,US,28.02,-97.05,North
Krasnoarmeysk,51.02,57.0,61,100,3.0,RU,51.02,45.7,North
Vestmanna,62.16,48.2,81,48,16.11,FO,62.16,-7.17,North
Lida,53.88,48.74,90,42,7.65,BY,53.88,25.3,North
Latung,5.5,80.22,84,100,10.2,PH,5.5,120.88,North
Vestmannaeyjar,63.44,46.4,61,75,21.92,IS,63.44,-20.27,North
Ambon City,-3.7,79.0,14,97,4.61,ID,-3.7,128.18,South
Suntar,62.14,22.64,96,21,5.28,RU,62.14,117.63,North
Gazojak,41.19,56.26,39,65,9.06,TM,41.19,61.4,North
Road Town,18.42,87.8,70,40,9.17,VG,18.42,-64.62,North
Safranbolu,41.25,67.3,37,0,1.86,TR,41.25,32.69,North
Martapura,-3.42,78.8,94,75,6.93,ID,-3.42,114.85,South
Mahanoro,-19.9,72.16,75,6,3.27,MG,-19.9,48.8,South
Murgab,37.5,59.0,51,0,4.7,TM,37.5,61.97,North
